(1500, 1500):: Color: 0, Turn: 1
(1501, 1500):: Color: 1, Turn: 1
(1501, 1499):: Color: 1, Turn: -1
(1502, 1499):: Color: 0, Turn: -1
(1502, 1500):: Color: 0, Turn: 1
(1503, 1500):: Color: 0, Turn: 1
(1503, 1499):: Color: 1, Turn: -1
(1504, 1499):: Color: 0, Turn: -1
(1504, 1500):: Color: 1, Turn: 1
(1505, 1500):: Color: 0, Turn: 1
(1505, 1499):: Color: 0, Turn: -1
(1506, 1499):: Color: 1, Turn: -1
(1506, 1500):: Color: 1, Turn: 1
(1507, 1500):: Color: 1, Turn: 1
(1507, 1499):: Color: 0, Turn: -1
(1508, 1499):: Color: 0, Turn: -1
(1508, 1500):: Color: 1, Turn: 1
(1509, 1500):: Color: 0, Turn: 1
(1509, 1499):: Color: 1, Turn: -1
(1510, 1499):: Color: 0, Turn: -1
(1510, 1500):: Color: 0, Turn: 1
(1511, 1500):: Color: 1, Turn: 1
(1511, 1499):: Color: 0, Turn: -1
(1512, 1499):: Color: 0, Turn: -1
(1512, 1500):: Color: 1, Turn: 1
(1513, 1500):: Color: 1, Turn: 1
(1513, 1499):: Color: 0, Turn: -1
(1514, 1499):: Color: 1, Turn: -1
(1514, 1500):: Color: 1, Turn: 1
(1515, 1500):: Color: 0, Turn: 1
(1515, 1499):: Color: 0, Turn: -1
(1516, 1499):: Color: 1, Turn: -1
(1516, 1500):: Color: 1, Turn: 1
(1517, 1500):: Color: 1, Turn: 1
(1517, 1499):: Color: 0, Turn: -1
(1518, 1499):: Color: 0, Turn: -1
(1518, 1500):: Color: 1, Turn: 1
(1519, 1500):: Color: 1, Turn: 1
(1519, 1499):: Color: 0, Turn: -1
(1520, 1499):: Color: 0, Turn: -1
(1520, 1500):: Color: 0, Turn: 1
(1521, 1500):: Color: 0, Turn: 1
(1521, 1499):: Color: 1, Turn: -1
(1522, 1499):: Color: 0, Turn: -1
(1522, 1500):: Color: 1, Turn: 1
(1523, 1500):: Color: 1, Turn: 1
(1523, 1499):: Color: 0, Turn: -1
(1524, 1499):: Color: 1, Turn: -1
(1524, 1500):: Color: 0, Turn: 1
(1525, 1500):: Color: 0, Turn: 1
(1525, 1499):: Color: 0, Turn: -1
(1526, 1499):: Color: 0, Turn: -1
(1526, 1500):: Color: 0, Turn: 1
(1527, 1500):: Color: 0, Turn: 1
(1527, 1499):: Color: 0, Turn: -1
(1528, 1499):: Color: 0, Turn: -1
(1528, 1500):: Color: 1, Turn: 1
(1529, 1500):: Color: 1, Turn: 1
(1529, 1499):: Color: 1, Turn: -1
(1530, 1499):: Color: 0, Turn: -1
