There are 13 pairs of portals
Starting at 32,13
Aiming for 0,11
Testing at 0: 32,13; Dist: 0
Testing at 0: 31,13; Dist: 1
Testing at 0: 31,12; Dist: 2
Testing at 0: 31,11; Dist: 3
Testing at 0: 31,10; Dist: 4
Testing at 0: 31,9; Dist: 5
Testing at 0: 30,9; Dist: 6
Testing at 0: 29,9; Dist: 7
Testing at 0: 29,10; Dist: 8
Testing at 0: 29,11; Dist: 9
Testing at 0: 28,11; Dist: 10
Testing at 0: 29,12; Dist: 10
Testing at 0: 27,11; Dist: 11
Testing at 0: 29,13; Dist: 11
Testing at 0: 27,12; Dist: 12
Testing at 0: 29,14; Dist: 12
Testing at 0: 27,13; Dist: 13
Testing at 0: 29,15; Dist: 13
Testing at 0: 27,14; Dist: 14
Testing at 0: 30,15; Dist: 14
Testing at 0: 27,15; Dist: 15
Testing at 0: 31,15; Dist: 15
Testing at 0: 26,15; Dist: 16
Testing at 0: 32,15; Dist: 16
Testing at 1: 19,0; Dist: 17
Testing at 1: 19,1; Dist: 18
Testing at 1: 19,2; Dist: 19
Testing at 1: 19,3; Dist: 20
Testing at 1: 18,3; Dist: 21
Testing at 1: 17,3; Dist: 22
Testing at 1: 17,4; Dist: 23
Testing at 1: 17,2; Dist: 23
Testing at 1: 17,5; Dist: 24
Testing at 1: 17,1; Dist: 24
Testing at 1: 16,5; Dist: 25
Testing at 1: 16,1; Dist: 25
Testing at 1: 15,5; Dist: 26
Testing at 1: 15,1; Dist: 26
Testing at 1: 15,6; Dist: 27
Testing at 1: 15,4; Dist: 27
Testing at 2: 0,25; Dist: 28
Testing at 1: 15,3; Dist: 28
Testing at 2: 1,25; Dist: 29
Testing at 2: 2,25; Dist: 30
Testing at 2: 1,26; Dist: 30
Testing at 2: 3,25; Dist: 31
Testing at 2: 1,27; Dist: 31
Testing at 2: 3,24; Dist: 32
Testing at 2: 1,28; Dist: 32
Testing at 2: 3,23; Dist: 33
Testing at 2: 1,29; Dist: 33
Testing at 2: 4,23; Dist: 34
Testing at 2: 2,23; Dist: 34
Testing at 2: 1,30; Dist: 34
Testing at 2: 5,23; Dist: 35
Testing at 2: 1,23; Dist: 35
Testing at 2: 1,31; Dist: 35
Testing at 2: 5,24; Dist: 36
Testing at 2: 5,25; Dist: 37
Testing at 2: 5,26; Dist: 38
Testing at 2: 5,27; Dist: 39
Testing at 2: 4,27; Dist: 40
Testing at 2: 5,28; Dist: 40
Testing at 2: 3,27; Dist: 41
Testing at 2: 5,29; Dist: 41
Testing at 2: 3,28; Dist: 42
Testing at 2: 6,29; Dist: 42
Testing at 2: 5,30; Dist: 42
Testing at 2: 3,29; Dist: 43
Testing at 3: 11,40; Dist: 43
Testing at 2: 5,31; Dist: 43
Testing at 3: 11,39; Dist: 44
Testing at 2: 4,31; Dist: 44
Testing at 2: 5,32; Dist: 44
Testing at 3: 12,39; Dist: 45
Testing at 3: 10,39; Dist: 45
Testing at 2: 3,31; Dist: 45
Testing at 2: 5,33; Dist: 45
Testing at 3: 13,39; Dist: 46
Testing at 3: 9,39; Dist: 46
Testing at 2: 4,33; Dist: 46
Testing at 2: 5,34; Dist: 46
Testing at 3: 13,38; Dist: 47
Testing at 3: 8,39; Dist: 47
Testing at 2: 3,33; Dist: 47
Testing at 2: 5,35; Dist: 47
Testing at 3: 13,37; Dist: 48
Testing at 3: 7,39; Dist: 48
Testing at 2: 2,33; Dist: 48
Testing at 2: 3,34; Dist: 48
Testing at 3: 12,37; Dist: 49
Testing at 3: 13,36; Dist: 49
Testing at 2: 1,33; Dist: 49
Testing at 2: 3,35; Dist: 49
Testing at 3: 11,37; Dist: 50
Testing at 3: 13,35; Dist: 50
Testing at 2: 2,35; Dist: 50
Testing at 2: 3,36; Dist: 50
Testing at 3: 12,35; Dist: 51
Testing at 2: 1,35; Dist: 51
Testing at 2: 3,37; Dist: 51
Testing at 3: 11,35; Dist: 52
Testing at 2: 2,37; Dist: 52
Testing at 2: 3,38; Dist: 52
Testing at 3: 10,35; Dist: 53
Testing at 3: 11,34; Dist: 53
Testing at 2: 1,37; Dist: 53
Testing at 2: 3,39; Dist: 53
Testing at 3: 9,35; Dist: 54
Testing at 4: 0,17; Dist: 54
Testing at 2: 1,38; Dist: 54
Testing at 3: 8,35; Dist: 55
Testing at 3: 9,36; Dist: 55
Testing at 4: 1,17; Dist: 55
Testing at 2: 1,39; Dist: 55
Testing at 3: 7,35; Dist: 56
Testing at 3: 9,37; Dist: 56
Testing at 4: 2,17; Dist: 56
Testing at 4: 1,18; Dist: 56
Testing at 4: 1,16; Dist: 56
Testing at 3: 8,37; Dist: 57
Testing at 4: 3,17; Dist: 57
Testing at 4: 1,19; Dist: 57
Testing at 4: 1,15; Dist: 57
Testing at 3: 7,37; Dist: 58
Testing at 4: 4,17; Dist: 58
Testing at 4: 1,20; Dist: 58
Testing at 4: 2,15; Dist: 58
Testing at 4: 0,15; Dist: 58
Testing at 3: 6,37; Dist: 59
Testing at 4: 5,17; Dist: 59
Testing at 4: 1,21; Dist: 59
Testing at 4: 3,15; Dist: 59
Testing at 3: 26,19; Dist: 59
Testing at 3: 5,37; Dist: 60
Testing at 4: 5,16; Dist: 60
Testing at 4: 2,21; Dist: 60
Testing at 3: 27,19; Dist: 60
Testing at 3: 5,38; Dist: 61
Testing at 4: 5,15; Dist: 61
Testing at 4: 3,21; Dist: 61
