There are initially 15 bugs
After iteration 1, there are 26 bugs
After iteration 2, there are 24 bugs
After iteration 3, there are 50 bugs
After iteration 4, there are 45 bugs
After iteration 5, there are 73 bugs
After iteration 6, there are 60 bugs
After iteration 7, there are 93 bugs
After iteration 8, there are 85 bugs
After iteration 9, there are 107 bugs
After iteration 10, there are 108 bugs
After iteration 11, there are 131 bugs
After iteration 12, there are 120 bugs
After iteration 13, there are 167 bugs
After iteration 14, there are 137 bugs
After iteration 15, there are 185 bugs
After iteration 16, there are 154 bugs
After iteration 17, there are 192 bugs
After iteration 18, there are 181 bugs
After iteration 19, there are 235 bugs
After iteration 20, there are 189 bugs
After iteration 21, there are 238 bugs
After iteration 22, there are 216 bugs
After iteration 23, there are 267 bugs
After iteration 24, there are 242 bugs
After iteration 25, there are 276 bugs
After iteration 26, there are 256 bugs
After iteration 27, there are 296 bugs
After iteration 28, there are 303 bugs
After iteration 29, there are 307 bugs
After iteration 30, there are 302 bugs
After iteration 31, there are 338 bugs
After iteration 32, there are 336 bugs
After iteration 33, there are 350 bugs
After iteration 34, there are 352 bugs
After iteration 35, there are 369 bugs
After iteration 36, there are 408 bugs
After iteration 37, there are 369 bugs
After iteration 38, there are 398 bugs
After iteration 39, there are 415 bugs
After iteration 40, there are 396 bugs
After iteration 41, there are 454 bugs
After iteration 42, there are 410 bugs
After iteration 43, there are 442 bugs
After iteration 44, there are 472 bugs
After iteration 45, there are 471 bugs
After iteration 46, there are 476 bugs
After iteration 47, there are 504 bugs
After iteration 48, there are 476 bugs
After iteration 49, there are 506 bugs
After iteration 50, there are 522 bugs
After iteration 51, there are 519 bugs
After iteration 52, there are 506 bugs
After iteration 53, there are 563 bugs
After iteration 54, there are 541 bugs
After iteration 55, there are 563 bugs
After iteration 56, there are 558 bugs
After iteration 57, there are 605 bugs
After iteration 58, there are 558 bugs
After iteration 59, there are 601 bugs
After iteration 60, there are 613 bugs
After iteration 61, there are 658 bugs
After iteration 62, there are 620 bugs
After iteration 63, there are 671 bugs
After iteration 64, there are 656 bugs
After iteration 65, there are 655 bugs
After iteration 66, there are 679 bugs
After iteration 67, there are 656 bugs
After iteration 68, there are 686 bugs
After iteration 69, there are 722 bugs
After iteration 70, there are 694 bugs
After iteration 71, there are 701 bugs
After iteration 72, there are 702 bugs
After iteration 73, there are 785 bugs
After iteration 74, there are 711 bugs
After iteration 75, there are 768 bugs
After iteration 76, there are 760 bugs
After iteration 77, there are 811 bugs
After iteration 78, there are 742 bugs
After iteration 79, there are 830 bugs
After iteration 80, there are 790 bugs
After iteration 81, there are 827 bugs
After iteration 82, there are 809 bugs
After iteration 83, there are 849 bugs
After iteration 84, there are 797 bugs
After iteration 85, there are 927 bugs
After iteration 86, there are 863 bugs
After iteration 87, there are 866 bugs
After iteration 88, there are 885 bugs
After iteration 89, there are 889 bugs
After iteration 90, there are 895 bugs
After iteration 91, there are 926 bugs
After iteration 92, there are 909 bugs
After iteration 93, there are 985 bugs
After iteration 94, there are 951 bugs
After iteration 95, there are 985 bugs
After iteration 96, there are 933 bugs
After iteration 97, there are 993 bugs
After iteration 98, there are 983 bugs
After iteration 99, there are 957 bugs
After iteration 100, there are 1027 bugs
After iteration 101, there are 1075 bugs
After iteration 102, there are 1010 bugs
After iteration 103, there are 1077 bugs
After iteration 104, there are 1013 bugs
After iteration 105, there are 1064 bugs
After iteration 106, there are 1040 bugs
After iteration 107, there are 1038 bugs
After iteration 108, there are 1086 bugs
After iteration 109, there are 1120 bugs
After iteration 110, there are 1139 bugs
After iteration 111, there are 1142 bugs
After iteration 112, there are 1126 bugs
After iteration 113, there are 1129 bugs
After iteration 114, there are 1120 bugs
After iteration 115, there are 1137 bugs
After iteration 116, there are 1168 bugs
After iteration 117, there are 1208 bugs
After iteration 118, there are 1207 bugs
After iteration 119, there are 1229 bugs
After iteration 120, there are 1205 bugs
After iteration 121, there are 1211 bugs
After iteration 122, there are 1175 bugs
After iteration 123, there are 1243 bugs
After iteration 124, there are 1221 bugs
After iteration 125, there are 1262 bugs
After iteration 126, there are 1305 bugs
After iteration 127, there are 1316 bugs
After iteration 128, there are 1254 bugs
After iteration 129, there are 1308 bugs
After iteration 130, there are 1245 bugs
After iteration 131, there are 1337 bugs
After iteration 132, there are 1270 bugs
After iteration 133, there are 1349 bugs
